NODE	Virus	Class	Order 	Family
NODE_A191_length_1442_cov_15.389744_S6	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1718_length_626_cov_5.708561_NC3	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A2833_length_559_cov_2.782158_NC3	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A718_length_907_cov_4.115663_S6	phage	Caudoviricetes	Crassvirales	Unclassified
NODE_A9_length_31300_cov_32.230535_S25	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B33_length_2586_cov_6.601036_S19	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A11_length_9062_cov_40.404674_S2	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A2386_length_581_cov_3.152778_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A664_length_688_cov_1.849427_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A317_length_3632_cov_6.513643_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A8124_length_708_cov_4.201268_S38	phage	Ellioviricetes	Bunyavirales	Unclassified
NODE_B1_length_64575_cov_138.535489_S19	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A3044_length_550_cov_4.050740_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A1245_length_598_cov_1.808061_S48	eukaryotic_virus	Alsuviricetes	Martellivirales	Endornaviridae
NODE_A509_length_671_cov_5.398990_S2	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A314_length_939_cov_2.274942_S20	phage	Ellioviricetes	Bunyavirales	Unclassified
NODE_A2409_length_579_cov_9.207171_NC3	eukaryotic_virus	Arfiviricetes	Mulpavirales	Nanoviridae
